ct,GEOID,svi_ptile,transit_ptile,asthmavalue,PTRAF,PTRAF_bycensus,No_of_Stops,PTover45m_pct,,,,,,,,,,,,,,,
24510010100,245100101001,0.04569,0.029275809,0.087,451.05989,685.6843712,10,24.51,,,,,,,,,,,,,,,
24510010100,245100101002,0.04569,0.029275809,0.087,534.1044195,685.6843712,10,24.51,,,,,,,,,,,,,,,
24510010100,245100101003,0.04569,0.029275809,0.087,1071.888804,685.6843712,10,24.51,,,,,,,,,,,,,,,
24510010200,245100102001,0.01523,0.124807396,0.082,531.066059,686.7780835,8,54.24,,,,,,,,,,,,,,,
24510010200,245100102002,0.01523,0.124807396,0.082,927.1895911,686.7780835,8,54.24,,,,,,,,,,,,,,,
24510010200,245100102003,0.01523,0.124807396,0.082,897.4262786,686.7780835,8,54.24,,,,,,,,,,,,,,,
24510010200,245100102004,0.01523,0.124807396,0.082,391.4304054,686.7780835,8,54.24,,,,,,,,,,,,,,,
24510010300,245100103001,0.005076,0.036979969,0.082,886.8858383,1074,6,15.38,,,,,,,,,,,,,,,
24510010300,245100103002,0.005076,0.036979969,0.082,1260.437528,1074,6,15.38,,,,,,,,,,,,,,,
24510010400,245100104001,0.07614,0.033898305,0.081,809.656566,1072.952243,15,57.58,,,,,,,,,,,,,,,
24510010400,245100104002,0.07614,0.033898305,0.081,1336.247919,1072.952243,15,57.58,,,,,,,,,,,,,,,
24510010500,245100105001,0.08122,0.101694915,0.083,1411.059036,1487,2,50.77,,,,,,,,,,,,,,,
24510010500,245100105002,0.08122,0.101694915,0.083,1562.513766,1487,2,50.77,,,,,,,,,,,,,,,
24510020100,245100201001,0.06091,0.049306626,0.088,1858.464273,1880.37,8,48.19,,,,,,,,,,,,,,,
24510020100,245100201002,0.06091,0.049306626,0.088,1902.275726,1880.37,8,48.19,,,,,,,,,,,,,,,
24510020200,245100202001,0.05076,0.01540832,0.081,2104.416904,2056.931753,8,23.53,,,,,,,,,,,,,,,
24510020200,245100202002,0.05076,0.01540832,0.081,2009.446602,2056.931753,8,23.53,,,,,,,,,,,,,,,
24510020300,245100203001,0.1066,0.024653313,0.082,2670.155042,1758.580718,10,30.72,,,,,,,,,,,,,,,
24510020300,245100203002,0.1066,0.024653313,0.082,1808.450388,1758.580718,10,30.72,,,,,,,,,,,,,,,
24510020300,245100203003,0.1066,0.024653313,0.082,797.1367249,1758.580718,10,30.72,,,,,,,,,,,,,,,
24510030100,245100301001,0.8274,0.141756549,0.129,1702.996771,1741.463224,15,32.65,,,,,,,,,,,,,,,
24510030100,245100301002,0.8274,0.141756549,0.129,1779.929677,1741.463224,15,32.65,,,,,,,,,,,,,,,
24510030200,245100302001,0.198,0.00770416,0.094,3659.662605,3794,11,33.93,,,,,,,,,,,,,,,
24510030200,245100302002,0.198,0.00770416,0.094,3927.993132,3794,11,33.93,,,,,,,,,,,,,,,
24510040100,245100401001,0.203,0.004622496,0.084,6630.212008,4944.033701,88,50.35,,,,,,,,,,,,,,,
24510040100,245100401002,0.203,0.004622496,0.084,3257.855394,4944.033701,88,50.35,,,,,,,,,,,,,,,
24510040200,245100402001,0.269,0.003081664,0.094,4952.62041,4952.62041,20,34.09,,,,,,,,,,,,,,,
24510060100,245100601001,0.5178,0.200308166,0.106,2024.143417,1497.00074,9,59.78,,,,,,,,,,,,,,,
24510060100,245100601002,0.5178,0.200308166,0.106,1059.409826,1497.00074,9,59.78,,,,,,,,,,,,,,,
24510060100,245100601003,0.5178,0.200308166,0.106,885.8930034,1497.00074,9,59.78,,,,,,,,,,,,,,,
24510060100,245100601004,0.5178,0.200308166,0.106,2018.556712,1497.00074,9,59.78,,,,,,,,,,,,,,,
24510060200,245100602001,0.4518,0.104776579,0.104,1940.501666,1414.948806,5,38.01,,,,,,,,,,,,,,,
24510060200,245100602002,0.4518,0.104776579,0.104,885.9463512,1414.948806,5,38.01,,,,,,,,,,,,,,,
24510060200,245100602003,0.4518,0.104776579,0.104,954.8893737,1414.948806,5,38.01,,,,,,,,,,,,,,,
24510060200,245100602004,0.4518,0.104776579,0.104,1466.24741,1414.948806,5,38.01,,,,,,,,,,,,,,,
24510060200,245100602005,0.4518,0.104776579,0.104,1827.15923,1414.948806,5,38.01,,,,,,,,,,,,,,,
24510060300,245100603001,0.3553,0.080123267,0.106,2194.290584,1741.663061,4,27.78,,,,,,,,,,,,,,,
24510060300,245100603002,0.3553,0.080123267,0.106,1289.035538,1741.663061,4,27.78,,,,,,,,,,,,,,,
24510060400,245100604001,0.2944,0,0.107,2109.388242,2159.885602,18,38.89,,,,,,,,,,,,,,,
24510060400,245100604002,0.2944,0,0.107,2210.382962,2159.885602,18,38.89,,,,,,,,,,,,,,,
24510070100,245100701001,1,0.634822804,0.141,1587.813213,1686.084024,5,14.22,,,,,,,,,,,,,,,
24510070100,245100701002,1,0.634822804,0.141,1784.354835,1686.084024,5,14.22,,,,,,,,,,,,,,,
24510070200,245100702001,0.8985,0.585516179,0.134,681.2323113,1318.991844,8,68.07,,,,,,,,,,,,,,,
24510070200,245100702002,0.8985,0.585516179,0.134,1474.496337,1318.991844,8,68.07,,,,,,,,,,,,,,,
24510070200,245100702003,0.8985,0.585516179,0.134,1496.031817,1318.991844,8,68.07,,,,,,,,,,,,,,,
24510070200,245100702004,0.8985,0.585516179,0.134,1511.617824,1318.991844,8,68.07,,,,,,,,,,,,,,,
24510070200,245100702005,0.8985,0.585516179,0.134,1431.580932,1318.991844,8,68.07,,,,,,,,,,,,,,,
24510070300,245100703001,0.8832,0.409861325,0.128,1974.864189,1588.804921,6,13.53,,,,,,,,,,,,,,,
24510070300,245100703002,0.8832,0.409861325,0.128,1202.745652,1588.804921,6,13.53,,,,,,,,,,,,,,,
24510070400,245100704001,0.8883,0.137134052,0.136,1632.230033,1449.169749,15,52.94,,,,,,,,,,,,,,,
24510070400,245100704002,0.8883,0.137134052,0.136,1107.617511,1449.169749,15,52.94,,,,,,,,,,,,,,,
24510070400,245100704003,0.8883,0.137134052,0.136,1607.661702,1449.169749,15,52.94,,,,,,,,,,,,,,,
24510080101,245100801011,0.1929,0.3605547,0.114,1052.633932,1052.866669,22,56.96,,,,,,,,,,,,,,,
24510080101,245100801012,0.1929,0.3605547,0.114,404.7304515,1052.866669,22,56.96,,,,,,,,,,,,,,,
24510080101,245100801013,0.1929,0.3605547,0.114,1442.919098,1052.866669,22,56.96,,,,,,,,,,,,,,,
24510080101,245100801014,0.1929,0.3605547,0.114,1311.183194,1052.866669,22,56.96,,,,,,,,,,,,,,,
24510080102,245100801021,0.7665,0.898305085,0.133,2128.238,1835.694579,11,58.36,,,,,,,,,,,,,,,
24510080102,245100801022,0.7665,0.898305085,0.133,1543.151157,1835.694579,11,58.36,,,,,,,,,,,,,,,
24510080200,245100802001,0.8071,0.366718028,0.128,486.7360545,823.8712116,20,60,,,,,,,,,,,,,,,
24510080200,245100802002,0.8071,0.366718028,0.128,864.4417462,823.8712116,20,60,,,,,,,,,,,,,,,
24510080200,245100802003,0.8071,0.366718028,0.128,1120.435834,823.8712116,20,60,,,,,,,,,,,,,,,
24510080301,245100803011,0.8528,0.562403698,0.13,272.1698046,236.2227852,4,57.42,,,,,,,,,,,,,,,
24510080301,245100803012,0.8528,0.562403698,0.13,178.4484641,236.2227852,4,57.42,,,,,,,,,,,,,,,
24510080301,245100803013,0.8528,0.562403698,0.13,258.050087,236.2227852,4,57.42,,,,,,,,,,,,,,,
24510080302,245100803021,0.7614,0.659476117,0.123,802.1185268,575.3589271,9,62.95,,,,,,,,,,,,,,,
24510080302,245100803022,0.7614,0.659476117,0.123,913.7742986,575.3589271,9,62.95,,,,,,,,,,,,,,,
24510080302,245100803023,0.7614,0.659476117,0.123,311.9954152,575.3589271,9,62.95,,,,,,,,,,,,,,,
24510080302,245100803024,0.7614,0.659476117,0.123,273.5474678,575.3589271,9,62.95,,,,,,,,,,,,,,,
24510080400,245100804001,0.9695,0.832049307,0.138,525.0874724,495.0183945,4,76.55,,,,,,,,,,,,,,,
24510080400,245100804002,0.9695,0.832049307,0.138,464.9493165,495.0183945,4,76.55,,,,,,,,,,,,,,,
24510080500,245100805001,0.7766,0.43605547,0.133,2073.311423,1887.942442,7,36.68,,,,,,,,,,,,,,,
24510080500,245100805002,0.7766,0.43605547,0.133,2053.35443,1887.942442,7,36.68,,,,,,,,,,,,,,,
24510080500,245100805003,0.7766,0.43605547,0.133,1537.161473,1887.942442,7,36.68,,,,,,,,,,,,,,,
24510080600,245100806001,0.8223,0.637904468,0.13,1273.552743,1424.276673,6,39.19,,,,,,,,,,,,,,,
24510080600,245100806002,0.8223,0.637904468,0.13,1602.479301,1424.276673,6,39.19,,,,,,,,,,,,,,,
24510080600,245100806003,0.8223,0.637904468,0.13,1457.556787,1424.276673,6,39.19,,,,,,,,,,,,,,,
24510080600,245100806004,0.8223,0.637904468,0.13,1363.51786,1424.276673,6,39.19,,,,,,,,,,,,,,,
24510080700,245100807001,0.7157,0.285053929,0.125,955.5713954,958.3985567,8,54.84,,,,,,,,,,,,,,,
